[20:05:08] очереди деталей: issues=5715, pr_merged=4089, pr_other=1405; стартовые позиции: 36/0/0
[20:09:31] issue: 1512/5715 (всего 1512/11209) cost=1 rem=4872, ETA~0.5ч
[20:09:33] issue: 1524/5715 (всего 1524/11209) cost=1 rem=4871, ETA~0.5ч
[20:09:34] issue: 1536/5715 (всего 1536/11209) cost=1 rem=4870, ETA~0.5ч
[20:09:36] issue: 1548/5715 (всего 1548/11209) cost=1 rem=4869, ETA~0.5ч
[20:09:38] issue: 1560/5715 (всего 1560/11209) cost=1 rem=4868, ETA~0.5ч
[20:09:40] issue: 1572/5715 (всего 1572/11209) cost=1 rem=4867, ETA~0.5ч
[20:09:42] issue: 1584/5715 (всего 1584/11209) cost=1 rem=4866, ETA~0.5ч
[20:09:44] issue: 1596/5715 (всего 1596/11209) cost=1 rem=4865, ETA~0.5ч
[20:09:46] issue: 1608/5715 (всего 1608/11209) cost=1 rem=4864, ETA~0.5ч
[20:09:48] issue: 1620/5715 (всего 1620/11209) cost=1 rem=4863, ETA~0.5ч
[20:09:49] issue: 1632/5715 (всего 1632/11209) cost=1 rem=4862, ETA~0.5ч
[20:09:51] issue: 1644/5715 (всего 1644/11209) cost=1 rem=4861, ETA~0.5ч
[20:09:53] issue: 1656/5715 (всего 1656/11209) cost=1 rem=4860, ETA~0.5ч
[20:09:55] issue: 1668/5715 (всего 1668/11209) cost=1 rem=4859, ETA~0.5ч
[20:09:57] issue: 1680/5715 (всего 1680/11209) cost=1 rem=4858, ETA~0.5ч
[20:09:59] issue: 1692/5715 (всего 1692/11209) cost=1 rem=4857, ETA~0.5ч
[20:10:00] issue: 1704/5715 (всего 1704/11209) cost=1 rem=4856, ETA~0.5ч
[20:10:02] issue: 1716/5715 (всего 1716/11209) cost=1 rem=4855, ETA~0.5ч
[20:10:05] issue: 1728/5715 (всего 1728/11209) cost=1 rem=4854, ETA~0.5ч
[20:10:07] issue: 1740/5715 (всего 1740/11209) cost=1 rem=4853, ETA~0.5ч
[20:10:08] issue: 1752/5715 (всего 1752/11209) cost=1 rem=4852, ETA~0.5ч
[20:10:10] issue: 1764/5715 (всего 1764/11209) cost=1 rem=4851, ETA~0.5ч
[20:10:13] issue: 1776/5715 (всего 1776/11209) cost=1 rem=4850, ETA~0.5ч
[20:10:14] issue: 1788/5715 (всего 1788/11209) cost=1 rem=4849, ETA~0.5ч
[20:10:17] issue: 1800/5715 (всего 1800/11209) cost=1 rem=4848, ETA~0.5ч
[20:10:19] issue: 1812/5715 (всего 1812/11209) cost=1 rem=4847, ETA~0.5ч
[20:10:21] issue: 1824/5715 (всего 1824/11209) cost=1 rem=4846, ETA~0.5ч
[20:10:23] issue: 1836/5715 (всего 1836/11209) cost=1 rem=4845, ETA~0.5ч
[20:10:24] issue: 1848/5715 (всего 1848/11209) cost=1 rem=4844, ETA~0.5ч
[20:10:26] issue: 1860/5715 (всего 1860/11209) cost=1 rem=4843, ETA~0.5ч
[20:10:27] issue: 1872/5715 (всего 1872/11209) cost=1 rem=4842, ETA~0.5ч
[20:10:29] issue: 1884/5715 (всего 1884/11209) cost=1 rem=4841, ETA~0.5ч
[20:10:30] issue: 1896/5715 (всего 1896/11209) cost=1 rem=4840, ETA~0.4ч
[20:10:32] issue: 1908/5715 (всего 1908/11209) cost=1 rem=4839, ETA~0.4ч
[20:10:33] issue: 1920/5715 (всего 1920/11209) cost=1 rem=4838, ETA~0.4ч
[20:10:35] issue: 1932/5715 (всего 1932/11209) cost=1 rem=4837, ETA~0.4ч
[20:10:36] issue: 1944/5715 (всего 1944/11209) cost=1 rem=4836, ETA~0.4ч
[20:10:38] issue: 1956/5715 (всего 1956/11209) cost=1 rem=4835, ETA~0.4ч
[20:10:40] issue: 1968/5715 (всего 1968/11209) cost=1 rem=4834, ETA~0.4ч
[20:10:41] issue: 1980/5715 (всего 1980/11209) cost=1 rem=4833, ETA~0.4ч
[20:10:43] issue: 1992/5715 (всего 1992/11209) cost=1 rem=4832, ETA~0.4ч
[20:10:44] issue: 2004/5715 (всего 2004/11209) cost=1 rem=4831, ETA~0.4ч
[20:10:46] issue: 2016/5715 (всего 2016/11209) cost=1 rem=4830, ETA~0.4ч
[20:10:48] issue: 2028/5715 (всего 2028/11209) cost=1 rem=4829, ETA~0.4ч
[20:10:50] issue: 2040/5715 (всего 2040/11209) cost=1 rem=4828, ETA~0.4ч
[20:10:52] issue: 2052/5715 (всего 2052/11209) cost=1 rem=4827, ETA~0.4ч
[20:10:54] issue: 2064/5715 (всего 2064/11209) cost=1 rem=4826, ETA~0.4ч
[20:10:55] issue: 2076/5715 (всего 2076/11209) cost=1 rem=4825, ETA~0.4ч
[20:10:57] issue: 2088/5715 (всего 2088/11209) cost=1 rem=4824, ETA~0.4ч
[20:11:00] issue: 2100/5715 (всего 2100/11209) cost=1 rem=4823, ETA~0.4ч
[20:11:02] issue: 2112/5715 (всего 2112/11209) cost=1 rem=4822, ETA~0.4ч
[20:11:05] issue: 2124/5715 (всего 2124/11209) cost=1 rem=4821, ETA~0.4ч
[20:11:06] issue: 2136/5715 (всего 2136/11209) cost=1 rem=4820, ETA~0.4ч
[20:11:08] issue: 2148/5715 (всего 2148/11209) cost=1 rem=4819, ETA~0.4ч
[20:11:10] issue: 2160/5715 (всего 2160/11209) cost=1 rem=4818, ETA~0.4ч
[20:11:11] issue: 2172/5715 (всего 2172/11209) cost=1 rem=4817, ETA~0.4ч
[20:11:13] issue: 2184/5715 (всего 2184/11209) cost=1 rem=4816, ETA~0.4ч
[20:11:14] issue: 2196/5715 (всего 2196/11209) cost=1 rem=4815, ETA~0.4ч
[20:11:17] issue: 2208/5715 (всего 2208/11209) cost=1 rem=4814, ETA~0.4ч
[20:11:18] issue: 2220/5715 (всего 2220/11209) cost=1 rem=4813, ETA~0.4ч
[20:11:21] issue: 2232/5715 (всего 2232/11209) cost=1 rem=4812, ETA~0.4ч
[20:11:24] issue: 2244/5715 (всего 2244/11209) cost=1 rem=4811, ETA~0.4ч
[20:11:25] issue: 2256/5715 (всего 2256/11209) cost=1 rem=4810, ETA~0.4ч
[20:11:27] issue: 2268/5715 (всего 2268/11209) cost=1 rem=4809, ETA~0.4ч
[20:11:29] issue: 2280/5715 (всего 2280/11209) cost=1 rem=4808, ETA~0.4ч
[20:11:31] issue: 2292/5715 (всего 2292/11209) cost=1 rem=4807, ETA~0.4ч
[20:11:32] issue: 2304/5715 (всего 2304/11209) cost=1 rem=4806, ETA~0.4ч
[20:11:34] issue: 2316/5715 (всего 2316/11209) cost=1 rem=4805, ETA~0.4ч
[20:11:35] issue: 2328/5715 (всего 2328/11209) cost=1 rem=4804, ETA~0.4ч
[20:11:38] issue: 2340/5715 (всего 2340/11209) cost=1 rem=4803, ETA~0.4ч
[20:11:39] issue: 2352/5715 (всего 2352/11209) cost=1 rem=4802, ETA~0.4ч
[20:11:41] issue: 2364/5715 (всего 2364/11209) cost=1 rem=4801, ETA~0.4ч
[20:11:43] issue: 2376/5715 (всего 2376/11209) cost=1 rem=4800, ETA~0.4ч
[20:11:44] issue: 2388/5715 (всего 2388/11209) cost=1 rem=4799, ETA~0.4ч
[20:11:46] issue: 2400/5715 (всего 2400/11209) cost=1 rem=4798, ETA~0.4ч
[20:11:48] issue: 2412/5715 (всего 2412/11209) cost=1 rem=4797, ETA~0.4ч
[20:11:49] issue: 2424/5715 (всего 2424/11209) cost=1 rem=4796, ETA~0.4ч
[20:11:54] issue: 2436/5715 (всего 2436/11209) cost=1 rem=4795, ETA~0.4ч
[20:11:55] issue: 2448/5715 (всего 2448/11209) cost=1 rem=4794, ETA~0.4ч
[20:11:57] issue: 2460/5715 (всего 2460/11209) cost=1 rem=4793, ETA~0.4ч
[20:11:58] issue: 2472/5715 (всего 2472/11209) cost=1 rem=4792, ETA~0.4ч
[20:12:00] issue: 2484/5715 (всего 2484/11209) cost=1 rem=4791, ETA~0.4ч
[20:12:02] issue: 2496/5715 (всего 2496/11209) cost=1 rem=4790, ETA~0.4ч
[20:12:04] issue: 2508/5715 (всего 2508/11209) cost=1 rem=4789, ETA~0.4ч
[20:12:06] issue: 2520/5715 (всего 2520/11209) cost=1 rem=4788, ETA~0.4ч
[20:12:08] issue: 2532/5715 (всего 2532/11209) cost=1 rem=4787, ETA~0.4ч
[20:12:10] issue: 2544/5715 (всего 2544/11209) cost=1 rem=4786, ETA~0.4ч
[20:12:12] issue: 2556/5715 (всего 2556/11209) cost=1 rem=4785, ETA~0.4ч
[20:12:14] issue: 2568/5715 (всего 2568/11209) cost=1 rem=4784, ETA~0.4ч
[20:12:16] issue: 2580/5715 (всего 2580/11209) cost=1 rem=4783, ETA~0.4ч
[20:12:18] issue: 2592/5715 (всего 2592/11209) cost=1 rem=4782, ETA~0.4ч
[20:12:20] issue: 2604/5715 (всего 2604/11209) cost=1 rem=4781, ETA~0.4ч
[20:12:22] issue: 2616/5715 (всего 2616/11209) cost=1 rem=4780, ETA~0.4ч
[20:12:24] issue: 2628/5715 (всего 2628/11209) cost=1 rem=4779, ETA~0.4ч
[20:12:26] issue: 2640/5715 (всего 2640/11209) cost=1 rem=4778, ETA~0.4ч
[20:12:28] issue: 2652/5715 (всего 2652/11209) cost=1 rem=4777, ETA~0.4ч
[20:12:31] issue: 2664/5715 (всего 2664/11209) cost=1 rem=4776, ETA~0.4ч
[20:12:33] issue: 2676/5715 (всего 2676/11209) cost=1 rem=4775, ETA~0.4ч
[20:12:35] issue: 2688/5715 (всего 2688/11209) cost=1 rem=4774, ETA~0.4ч
[20:12:37] issue: 2700/5715 (всего 2700/11209) cost=1 rem=4773, ETA~0.4ч
[20:12:39] issue: 2712/5715 (всего 2712/11209) cost=1 rem=4772, ETA~0.4ч
[20:12:41] issue: 2724/5715 (всего 2724/11209) cost=1 rem=4771, ETA~0.4ч
[20:12:46] issue: 2736/5715 (всего 2736/11209) cost=1 rem=4770, ETA~0.4ч
[20:12:48] issue: 2748/5715 (всего 2748/11209) cost=1 rem=4769, ETA~0.4ч
[20:12:50] issue: 2760/5715 (всего 2760/11209) cost=1 rem=4768, ETA~0.4ч
[20:12:52] issue: 2772/5715 (всего 2772/11209) cost=1 rem=4767, ETA~0.4ч
[20:12:54] issue: 2784/5715 (всего 2784/11209) cost=1 rem=4766, ETA~0.4ч
[20:12:55] issue: 2796/5715 (всего 2796/11209) cost=1 rem=4765, ETA~0.4ч
[20:12:57] issue: 2808/5715 (всего 2808/11209) cost=1 rem=4764, ETA~0.4ч
[20:12:59] issue: 2820/5715 (всего 2820/11209) cost=1 rem=4763, ETA~0.4ч
[20:13:01] issue: 2832/5715 (всего 2832/11209) cost=1 rem=4762, ETA~0.4ч
[20:13:03] issue: 2844/5715 (всего 2844/11209) cost=1 rem=4761, ETA~0.4ч
[20:13:04] issue: 2856/5715 (всего 2856/11209) cost=1 rem=4760, ETA~0.4ч
[20:13:06] issue: 2868/5715 (всего 2868/11209) cost=1 rem=4759, ETA~0.4ч
[20:13:08] issue: 2880/5715 (всего 2880/11209) cost=1 rem=4758, ETA~0.4ч
[20:13:10] issue: 2892/5715 (всего 2892/11209) cost=1 rem=4757, ETA~0.4ч
[20:13:12] issue: 2904/5715 (всего 2904/11209) cost=1 rem=4756, ETA~0.4ч
[20:13:16] issue: 2916/5715 (всего 2916/11209) cost=1 rem=4755, ETA~0.4ч
[20:13:18] issue: 2928/5715 (всего 2928/11209) cost=1 rem=4754, ETA~0.4ч
[20:13:20] issue: 2940/5715 (всего 2940/11209) cost=1 rem=4753, ETA~0.4ч
[20:13:23] issue: 2952/5715 (всего 2952/11209) cost=1 rem=4752, ETA~0.4ч
[20:13:26] issue: 2964/5715 (всего 2964/11209) cost=1 rem=4751, ETA~0.4ч
[20:13:28] issue: 2976/5715 (всего 2976/11209) cost=1 rem=4750, ETA~0.4ч
[20:13:30] issue: 2988/5715 (всего 2988/11209) cost=1 rem=4749, ETA~0.4ч
[20:13:31] issue: 3000/5715 (всего 3000/11209) cost=1 rem=4748, ETA~0.4ч
[20:13:34] issue: 3012/5715 (всего 3012/11209) cost=1 rem=4747, ETA~0.4ч
[20:13:36] issue: 3024/5715 (всего 3024/11209) cost=1 rem=4746, ETA~0.4ч
[20:13:37] issue: 3036/5715 (всего 3036/11209) cost=1 rem=4745, ETA~0.4ч
[20:13:39] issue: 3048/5715 (всего 3048/11209) cost=1 rem=4744, ETA~0.4ч
[20:13:42] issue: 3060/5715 (всего 3060/11209) cost=1 rem=4743, ETA~0.4ч
[20:13:44] issue: 3072/5715 (всего 3072/11209) cost=1 rem=4742, ETA~0.4ч
[20:13:46] issue: 3084/5715 (всего 3084/11209) cost=1 rem=4741, ETA~0.4ч
[20:13:48] issue: 3096/5715 (всего 3096/11209) cost=1 rem=4740, ETA~0.4ч
[20:13:50] issue: 3108/5715 (всего 3108/11209) cost=1 rem=4739, ETA~0.4ч
[20:13:52] issue: 3120/5715 (всего 3120/11209) cost=1 rem=4738, ETA~0.4ч
[20:13:54] issue: 3132/5715 (всего 3132/11209) cost=1 rem=4737, ETA~0.4ч
[20:13:56] issue: 3144/5715 (всего 3144/11209) cost=1 rem=4736, ETA~0.4ч
[20:13:58] issue: 3156/5715 (всего 3156/11209) cost=1 rem=4735, ETA~0.4ч
[20:14:02] issue: 3168/5715 (всего 3168/11209) cost=1 rem=4734, ETA~0.4ч
[20:14:04] issue: 3180/5715 (всего 3180/11209) cost=1 rem=4733, ETA~0.4ч
[20:14:06] issue: 3192/5715 (всего 3192/11209) cost=1 rem=4732, ETA~0.4ч
[20:14:08] issue: 3204/5715 (всего 3204/11209) cost=1 rem=4731, ETA~0.4ч
[20:14:10] issue: 3216/5715 (всего 3216/11209) cost=1 rem=4730, ETA~0.4ч
[20:14:12] issue: 3228/5715 (всего 3228/11209) cost=1 rem=4729, ETA~0.4ч
[20:14:14] issue: 3240/5715 (всего 3240/11209) cost=1 rem=4728, ETA~0.4ч
[20:14:16] issue: 3252/5715 (всего 3252/11209) cost=1 rem=4727, ETA~0.4ч
[20:14:18] issue: 3264/5715 (всего 3264/11209) cost=1 rem=4726, ETA~0.4ч
[20:14:20] issue: 3276/5715 (всего 3276/11209) cost=1 rem=4725, ETA~0.4ч
[20:14:22] issue: 3288/5715 (всего 3288/11209) cost=1 rem=4724, ETA~0.4ч
[20:14:24] issue: 3300/5715 (всего 3300/11209) cost=1 rem=4723, ETA~0.4ч
[20:14:26] issue: 3312/5715 (всего 3312/11209) cost=1 rem=4722, ETA~0.4ч
[20:14:28] issue: 3324/5715 (всего 3324/11209) cost=1 rem=4721, ETA~0.4ч
[20:14:30] issue: 3336/5715 (всего 3336/11209) cost=1 rem=4720, ETA~0.4ч
[20:14:31] issue: 3348/5715 (всего 3348/11209) cost=1 rem=4719, ETA~0.4ч
[20:14:33] issue: 3360/5715 (всего 3360/11209) cost=1 rem=4718, ETA~0.4ч
[20:14:35] issue: 3372/5715 (всего 3372/11209) cost=1 rem=4717, ETA~0.4ч
[20:14:36] issue: 3384/5715 (всего 3384/11209) cost=1 rem=4716, ETA~0.4ч
[20:14:38] issue: 3396/5715 (всего 3396/11209) cost=1 rem=4715, ETA~0.4ч
[20:14:41] issue: 3408/5715 (всего 3408/11209) cost=1 rem=4714, ETA~0.4ч
[20:14:43] issue: 3420/5715 (всего 3420/11209) cost=1 rem=4713, ETA~0.4ч
[20:14:44] issue: 3432/5715 (всего 3432/11209) cost=1 rem=4712, ETA~0.4ч
[20:14:46] issue: 3444/5715 (всего 3444/11209) cost=1 rem=4711, ETA~0.4ч
[20:14:49] issue: 3456/5715 (всего 3456/11209) cost=1 rem=4710, ETA~0.4ч
[20:14:51] issue: 3468/5715 (всего 3468/11209) cost=1 rem=4709, ETA~0.4ч
[20:14:53] issue: 3480/5715 (всего 3480/11209) cost=1 rem=4708, ETA~0.4ч
[20:14:54] issue: 3492/5715 (всего 3492/11209) cost=1 rem=4707, ETA~0.4ч
[20:14:57] issue: 3504/5715 (всего 3504/11209) cost=1 rem=4706, ETA~0.4ч
[20:14:58] issue: 3516/5715 (всего 3516/11209) cost=1 rem=4705, ETA~0.4ч
[20:15:00] issue: 3528/5715 (всего 3528/11209) cost=1 rem=4704, ETA~0.4ч
[20:15:02] issue: 3540/5715 (всего 3540/11209) cost=1 rem=4703, ETA~0.4ч
